iter	Passed	Remaining
0	7	367
1	14	344
2	20	326
3	27	315
4	33	304
5	40	295
6	46	287
7	52	278
8	59	272
9	62	250
10	69	245
11	75	239
12	81	233
13	88	227
14	94	221
15	101	215
16	108	211
17	115	205
18	123	201
19	130	195
20	137	189
21	143	182
22	149	175
23	156	169
24	162	162
25	169	156
26	176	150
27	182	143
28	189	137
29	196	130
30	202	124
31	209	117
32	215	111
33	222	104
34	228	98
35	235	91
36	242	85
37	248	78
38	255	71
39	261	65
40	268	58
41	274	52
42	281	45
43	287	39
44	294	32
45	300	26
46	306	19
47	313	13
48	319	6
49	326	0
